Open,High,Low,Close,Volume,int_range
82.86,82.92,82.14,82.42,10055961,16
82.78,82.84,81.52,82.05,13316927,10
81.88,82.75,81.62,82.28,11483253,7
82.88,84.99,82.8,84.57,21058385,1
85.53,86.27,84.65,84.9,17434201,0
85.54,85.57,83.82,85.08,11110498,0
84.06,84.4,81.64,82.45,21098023,4
82.22,82.65,80.4399,81.29,14209658,10
81.03,82.25,80.11,81.17,17910494,10
81.17,81.56,80.12,80.59,21551458,10
80.44,80.9,77.77,79.54,32661944,10
79.65,80.85,79.51,80,24953501,10
88.83,89.29,84.91,86,69448768,15
87.82,88.27,86.89,87.06,30140638,13
86.7,87.67,86.06,86.72,19776949,10
87.05,87.5,86.14,86.77,16077757,13
87.08,88.47,87,87.53,19015929,17
87.74,88.48,87.53,88.4,12087851,10
88.51,88.96,88.05,88.46,13424597,20
87.61,87.93,86.61,87.11,13490194,10
86.99,88.8,86.47,88.21,20727734,19
88.14,90.8,87.3,90.7,29812284,10
91.35,94.77,90.92,93.88,40729389,0
94.28,95.06,93.19,93.27,22183344,4
93.65,93.92,91.55,92.52,15674909,5
92.22,92.99,91.6,92.6,9519276,6
91.69,91.93,90.58,90.95,14212989,9
91.35,91.5,89.32,89.32,13893161,13
90.09,90.99,89.49,90.78,9905935,4
90.55,91.54,90.19,90.51,9865253,3
90.73,91.04,89.9,90.79,9428006,5
90.71,91.41,90.27,90.59,8689039,2
90.46,91.6,90.46,90.71,11353884,1
90.65,91.6,88.2427,88.29,15702324,5
88.04,88.18,86.12,87.58,16081784,6
87.7,88.99,87.2,88.9,12551297,5
89.03,89.48,87.1,87.21,13716159,8
87.42,87.79,86.48,86.63,9977141,7
86.3,87.17,86.05,86.12,10230405,8
86.003,86.7,85.6101,86.09,10974185,7
86.58,87.8,86.48,86.8,10241517,6
86.97,87.59,86.32,86.75,11737153,6
86.51,86.6,85.17,85.74,10316974,4
86.07,86.4,85.58,85.68,7154206,0
85.98,86.34,84.83,85.08,11411344,3
85.163,85.81,84.85,85.17,9434264,3
85.47,85.6,84.9,85.24,8949824,2
84.63,84.65,82.82,83.28,12668574,2
81.64,82.88,80.8,81.07,15199761,6
82.58,83.69,81.96,82.27,12624595,0
82.6,83,81.99,82.46,5949978,1
82.12,82.32,81.78,82.07,6760209,5
80.56,81.5,80.12,80.23,11864204,14
79.45,79.79,76.21,79.62,34221659,14
76.58,78.79,76.22,77.94,22714886,17
80.93,81.19,79.04,79.04,19778690,16
81.13,81.2,79.84,80.3,11224480,17
80.92,82.2,80.7,81.86,10350512,11
81.58,82.02,81.1301,81.5,7519316,12
80.9,81.5,80.21,80.73,9514204,18
81.39,82,80.9,81.53,8604535,15
81.99,83.7,81.58,83.36,14505365,9
83.56,83.68,82.05,82.67,8126115,6
83.11,83.25,82.22,82.54,5750662,5
82.16,84.75,82,84.15,11209240,0
84.66,84.97,83.25,83.88,7452287,0
85.17,85.38,82.65,83.02,8759920,0
80.85,81.7,79.68,81.4,12185711,1
80.67,80.8,79.25,80.56,12122816,5
80.98,81.3689,80.01,80.26,7177109,8
80.11,80.64,79.45,79.96,6934742,7
79.85,79.905,78.2,78.34,12686961,11
78.2,78.5,77.11,77.99,9276951,16
78.07,79.354,77.8,78.87,8501158,6
79.59,80.42,79.48,79.82,7502631,0
79.85,80.75,78.64,78.96,9297795,0
79.65,80.2,78.66,78.82,8738846,0
79.86,80.99,79.5,80.47,11276691,0
79.481,80,76.15,77.34,22976585,1
72.32,73.85,71.03,73.38,41189332,9
74,76.73,73.66,75.11,23230714,0
74.53,75.49,74.46,74.76,12367296,0
74.85,75.24,74.16,75.19,12677386,0
74.05,75.13,73.73,73.88,11155139,0
73.15,73.56,72.81,73.12,18179411,0
71.98,72.78,70.03,70.32,20944677,11
69.32,70.66,68.18,68.18,29791996,15
58.16,67.48,58,65.8,31212784,10
68.84,70.33,67.49,68.57,29387276,0
68.95,69.45,65.75,68.66,26306831,0
70.84,71.59,70.02,70.84,17691028,0
69.68,70.5,69.045,70.07,10568792,0
69.18,69.3,66.02,66.12,18328034,0
64.38,66.84,64.05,64.83,23433471,7
65.69,66,64.971,65.54,13318664,4
65.821,66.89,65.41,66.47,15745376,4
65.405,65.57,63.34,63.91,18135681,5
65.78,66.81,60.25,60.91,49705905,10
62.73,64.67,62.53,64.04,33096807,19
63.52,64.25,63.34,63.83,13234963,16
63.37,64.79,62.7,64.63,17721106,13
62.55,63.26,61.48,62.6,26669692,14
61.45,65.36,61.11,64.85,29001773,0
65.61,68.08,65.26,67.23,25781964,0
66.41,66.65,65.6,66,16559046,0
65.4,65.75,64.01,65.75,20004528,0
65.38,66.4,62.96,63.9,22336368,0
62.94,63.27,61.58,61.9,14842753,0
61.96,62.3,59.68,60,22630000,6
59.42,60.34,58.21,59.92,20619502,6
60.63,60.84,58.92,59.24,16996611,10
58.81,60.12,57.315,57.39,20580823,10
57.3,58.65,57.2,57.82,16655238,10
58.87,60.08,58.35,58.97,16572331,10
59.5,59.83,58.23,58.87,8127753,10
58.36,63.24,58.2,63.2,22188760,10
63.47,64.775,62.2,63.93,13549357,10
63.72,64.73,63.28,63.92,9558112,10
64.84,66.66,64.38,66.28,15772915,16
66.04,68.41,65.96,67.7,18580553,10
68.2,69.45,67.31,68.71,14708215,19
69.64,70.47,69,70.3,15413597,16
69.49,70.32,68.38,69.68,13039414,16
69.5,69.7,67.425,68.54,12219062,12
69.34,72.44,69.26,71.78,18112222,7
72.5,73.64,71.21,71.99,15678094,20
71.8,73,71.522,72.65,10870328,20
72.99,73,71.55,71.79,10849518,10
71.66,71.79,68.89,69.48,16833482,10
70.16,71.63,70.07,70.99,10711575,10
73.98,75.76,72.84,75.62,22434648,10
75.44,77.42,75.13,76.35,24719015,10
82.11,82.79,78.25,79.44,50538952,20
79.48,82.545,79.2001,82.35,24913361,17
81.97,82.53,80.82,82.22,16338878,17
82.7,84.44,82.6,83.83,20567817,9
83.52,84.83,82.75,84.35,13575832,2
84,84.59,83.13,83.44,11564450,5
84.45,85.6,84.03,85.4,23664825,0
85.22,86.42,84.2,85.38,20623521,0
85.53,86.35,80.77,83.61,38452791,0
